record_type,source_dataset,source_file,source_row_no,title,normalized_name,country_raw,country_norm,country_iso3,hs_code_raw,hs_code_norm,keywords_raw,keywords_norm,has_contact,contact_name,contact_email,contact_phone,contact_website,valid_until
buyer_candidate,중소벤처기업진흥공단_GoBizKorea구매오퍼,해외바이어구매오퍼_20241231,1,싱가포르 바이어가 브랜드 화장품 공급업체를 찾고 계십니다.,,싱가포르,싱가포르,,,,싱가포르 바이어가 브랜드 화장품 공급업체를 찾고 계십니다. | 건강 및 미용 (Health & Beauty),싱가포르 바이어가 브랜드 화장품 공급업체를 찾고 계십니다. | 건강 및 미용 (health & beauty),False,,,,,2024-01-31
buyer_candidate,중소벤처기업진흥공단_GoBizKorea구매오퍼,해외바이어구매오퍼_20241231,2,싱가포르바이어가 &quot;OEM/ODM 세럼&quot; 제조공급업체를 찾고 계십니다.,,싱가포르,싱가포르,,,,싱가포르바이어가 &quot;OEM/ODM 세럼&quot; 제조공급업체를 찾고 계십니다. | 건강 및 미용 (Health & Beauty),싱가포르바이어가 &quot;oem/odm 세럼&quot; 제조공급업체를 찾고 계십니다. | 건강 및 미용 (health & beauty),False,,,,,2024-01-18
buyer_candidate,중소벤처기업진흥공단_GoBizKorea구매오퍼,해외바이어구매오퍼_20241231,4,"싱가포르 바이어가 페이스 세럼, 페이스 크림 공급 업체를 찾고 있습니다.",,싱가포르,싱가포르,,,,"싱가포르 바이어가 페이스 세럼, 페이스 크림 공급 업체를 찾고 있습니다. | 건강 및 미용 (Health & Beauty)","싱가포르 바이어가 페이스 세럼, 페이스 크림 공급 업체를 찾고 있습니다. | 건강 및 미용 (health & beauty)",False,,,,,2024-01-15
buyer_candidate,중소벤처기업진흥공단_GoBizKorea구매오퍼,해외바이어구매오퍼_20241231,6,방글라데시 바이어가 에센셜 오일을 찾고 있습니다,,방글라데시,방글라데시,,,,"방글라데시 바이어가 에센셜 오일을 찾고 있습니다 | 기계, 화학, 고무 및 플라스틱 (Metallurgy, Chemicals, Rubber & Plastics)","방글라데시 바이어가 에센셜 오일을 찾고 있습니다 | 기계, 화학, 고무 및 플라스틱 (metallurgy, chemicals, rubber & plastics)",False,,,,,2024-02-19
buyer_candidate,중소벤처기업진흥공단_GoBizKorea구매오퍼,해외바이어구매오퍼_20241231,7,네팔 바이어가 페이셜크림(facial cream) 제품을 찾고 있습니다,,네팔,네팔,,,,네팔 바이어가 페이셜크림(facial cream) 제품을 찾고 있습니다 | 건강 및 미용 (Health & Beauty),네팔 바이어가 페이셜크림(facial cream) 제품을 찾고 있습니다 | 건강 및 미용 (health & beauty),False,,,,,2024-01-10
buyer_candidate,중소벤처기업진흥공단_GoBizKorea구매오퍼,해외바이어구매오퍼_20241231,9,사우디아라비아 바이어가 filler 제조사를 찾고 있습니다.,,사우디아라비아,사우디아라비아,,,,사우디아라비아 바이어가 filler 제조사를 찾고 있습니다. | 건강 및 미용 (Health & Beauty),사우디아라비아 바이어가 filler 제조사를 찾고 있습니다. | 건강 및 미용 (health & beauty),False,,,,,2024-01-26
buyer_candidate,중소벤처기업진흥공단_GoBizKorea구매오퍼,해외바이어구매오퍼_20241231,12,말레이시아 바이어가 여드름성 피부 및 민감성 피부 개선 제품 공급업체를 찾고 있습니다.,,말레이시아,말레이시아,,,,말레이시아 바이어가 여드름성 피부 및 민감성 피부 개선 제품 공급업체를 찾고 있습니다. | 건강 및 미용 (Health & Beauty),말레이시아 바이어가 여드름성 피부 및 민감성 피부 개선 제품 공급업체를 찾고 있습니다. | 건강 및 미용 (health & beauty),False,,,,,2024-01-18
buyer_candidate,중소벤처기업진흥공단_GoBizKorea구매오퍼,해외바이어구매오퍼_20241231,16,"온라인몰을 운영하는 방글라데시 바이어가 리빙, 펫, 건강, 뷰티(Libing, Pet, Health, Beauty)관련된 제품을 찾고 있습니다.",,방글라데시,방글라데시,,,,"온라인몰을 운영하는 방글라데시 바이어가 리빙, 펫, 건강, 뷰티(Libing, Pet, Health, Beauty)관련된 제품을 찾고 있습니다. | 건강 및 미용 (Health & Beauty)","온라인몰을 운영하는 방글라데시 바이어가 리빙, 펫, 건강, 뷰티(libing, pet, health, beauty)관련된 제품을 찾고 있습니다. | 건강 및 미용 (health & beauty)",False,,,,,2024-01-25
buyer_candidate,중소벤처기업진흥공단_GoBizKorea구매오퍼,해외바이어구매오퍼_20241231,17,"미국 바이어가 중저가 스킨케어, 헤어케어 제조 업체를 찾고 있습니다.",,미국,미국,,,,"미국 바이어가 중저가 스킨케어, 헤어케어 제조 업체를 찾고 있습니다. | 건강 및 미용 (Health & Beauty)","미국 바이어가 중저가 스킨케어, 헤어케어 제조 업체를 찾고 있습니다. | 건강 및 미용 (health & beauty)",False,,,,,2024-01-17
buyer_candidate,중소벤처기업진흥공단_GoBizKorea구매오퍼,해외바이어구매오퍼_20241231,19,이란 바이어가 &apos;자가혈소판풍부혈장치료술 키트(PRP(Platelet-Rich Plasma) kit)&apos; 공급업체를 찾고 있습니다.,,이란,이란,,,,이란 바이어가 &apos;자가혈소판풍부혈장치료술 키트(PRP(Platelet-Rich Plasma) kit)&apos; 공급업체를 찾고 있습니다. | 건강 및 미용 (Health & Beauty),이란 바이어가 &apos;자가혈소판풍부혈장치료술 키트(prp(platelet-rich plasma) kit)&apos; 공급업체를 찾고 있습니다. | 건강 및 미용 (health & beauty),False,,,,,2024-02-21
